judul,tahun,prodi
SISTEM INFORMASI PERPUSTAKAAN STIKES GETSEMPENA LHOKSUKON,2015,Teknik Komputer
SISTEM INFORMASI PENGELOLAAN SURAT BERBASIS WEB DI KANTOR CAMAT PANTEE BIDARI,2015,Teknik Komputer
APLIKASI PEMESANAN JASA MAKEUP BERBASIS WEB,2015,Teknik Komputer
SISTEM PENDUKUNG KEPUTUSAN PEMBERIAN BANTUAN SOSIAL MENGGUNAKAN METODE TOPSIS,2015,Teknik Komputer
APLIKASI ABSENSI FOTO SELFIE PADA UNIVERSITAS SAINS CUT NYAK DHIEN BERBASIS WEBSITE,2015,Teknik Komputer
RANCANG BANGUN ALARM SEKURITI MENGGUNAKAN ARDUINO UNO BERBASIS IOT,2015,Teknik Komputer
SISTEM PENDAFTARAN PELAYANAN KESEHATAN POS KESEHATAN DESA BUKET TEUKUH,2015,Teknik Komputer
RANCANGAN SISTEM INFORMASI ADMINISTRASI UNTUK DESA LHOK ASAHAN,2015,Teknik Komputer
SISTEM INFORMASI BUKU KUNING BERBASIS WEB DINAS PERINDUSTRIAN TENAGA KERJA DAN TRANSMIGRASI KABUPATEN ACEH TIMUR,2015,Teknik Komputer
SISTEM INFORMASI SURVEI KEPUASAN MAHASISWA DALAM MENGGUNAKAN WIFI PADA STIKES GETSEMPENA LHOKSUKON,2015,Teknik Komputer
MERANCANG DAN MEMBANGUN SISTEM INFORMASI MANAJEMEN FAKULTAS TEKNIK UNIVERSITAS SAINS CUT NYAK DHIEN LANGSA BERBASIS WEBSITE,2019,Teknik Komputer
PERBANDINGAN METODE WATERFALL DAN METODE PROTOTYPE DALAM ANALISIS PENGEMBANGAN APLIKASI BED MANAGEMENT RUMAH SAKIT UMUM DAERAH LANGSA,2019,Teknik Komputer
APLIKASI PERAMALAN PELANGGAN SERVIS MOTOR DI CAPELLA HONDA LANGSA DENGAN METODE SINGLE EXPONENTIAL SMOOTHING,2019,Teknik Komputer
APLIKASI SELEKSI PENERIMA BEASISWA DENGAN METODE SIMPLE ADDITIVE WEIGHTING,2019,Teknik Komputer
APLIKASI TRACKING KURIR J&T WILAYAH ACEH TIMUR DENGAN METODE PROTOTYPE,2019,Teknik Komputer
SISTEM INFORMASI PENDATAAN PENDUDUK PADA DESA UPAH BERBASIS WEB DENGAN METODE WATERFALL,2019,Teknik Komputer
APLIKASI MAN 1 LANGSA DENGAN METODE SIMPLE MOVING AVERAGE,2019,Teknik Komputer
APLIKASI PENDAFTARAN BEROBAT DAN KONSULTANSI BIDAN POLINDES MATANG ARA DENGAN METODE RAPID APPLICATION DEVELOPMENT,2019,Teknik Komputer
SISTEM INFORMASI MANAJEMEN SEKOLAH DAN PERAMALAN SISWA BARU DENGAN METODE REGRESI LINEAR,2019,Teknik Komputer
ANALISIS PENGELOMPOKAN KASUS TILANG KENDARAAN BERMOTOR DI KOTA LANGSA DENGAN ALGORITMA K-MEANS BERBASIS WEB,2019,Teknik Komputer
PREDIKSI PENJUALAN STIKER SECARA ONLINE MENGGUNAKAN ALGORITMA DECISION TREE,2020,Teknik Komputer
METODE FORWARD CHAINING DALAM SISTEM PENDUKUNG KEPUTUSAN DIAGNOSA PENYAKIT GINJAL BERBASIS MOBILE,2020,Teknik Komputer
KLASIFIKASI TINGKATAN PENYAKIT HIPERTENSI DENGAN METODE CERTAINTY FACTOR,2020,Teknik Komputer
APLIKASI LAYANAN SIAGA KEBENCANAAN BPBD KABUPATEN ACEH TAMIANG BERBASIS WEB DENGAN METODE EXTREME PROGRAMMING,2020,Teknik Komputer
RANCANG BANGUN SISTEM INFORMASI HELPDESK TICKETING DENGAN METODE WATERFALL BERBASIS WEB,2020,Teknik Komputer
PREDIKSI KASUS PENGGUNAAN NARKOBA DI KOTA KUALA SIMPANG DENGAN METODE REGRESI LINEAR BERBASIS WEB,2020,Teknik Komputer
SISTEM PENENTUAN SELEKSI PENERIMA BANTUAN USAHA DENGAN ALGORITMA K-MEANS,2020,Teknik Komputer
PERBANDINGAN METODE SINGLE EXPONENTIAL SMOOTHING DAN FUZZY TIME SERIES DALAM SISTEM PREDIKSI ANGKA KELAHIRAN,2020,Teknik Komputer
PENERAPAN ALGORITMA APRIORI DAN ASSOCIATION RULES ANALYSIS DALAM SISTEM PENCARIAN BUKU PERPUSTAKAAN,2020,Teknik Komputer
SISTEM INFORMASI MANAJEMEN RUMAH KOS BERBASIS WEB DENGAN METODE WATERFALL,2020,Teknik Komputer
APLIKASI PREDIKSI PRODUKSI GAS ALAM PT MEDCO E & P MALAKA DENGAN METODE LEAST SQUARE BERBASIS WEB,2020,Teknik Komputer
PEMANFAATAN RFID DAN NODEMCU DALAM SISTEM DATA KUNJUNGAN PERPUSTAKAAN BERBASIS IOT,2020,Teknik Komputer
PREDIKSI STOK BAHAN BAKU DAN ASET PERALATAN KERJA DI PT PERTAMINA DRILLING SERVICES INDONESIA DENGAN METODE FUZZY TSUKAMOTO,2020,Teknik Komputer
IMPLEMENTASI LOAD BALANCING MENGGUNAKAN METODE EQUAL COST MULTI PATH (ECMP),2020,Teknik Komputer
SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN DOKTER TERBAIK MENGGUNAKAN METODE SIMPLE ADDITIVE WEIGHTING (SAW),2020,Teknik Komputer
SISTEM PENDUKUNG KEPUTUSAN DOSEN TERBAIK MENGGUNAKAN METODE TOPSIS,2021,Teknik Komputer
PREDIKSI HARGA BERAS MEDIUM MENGGUNAKAN METODE K-NEAREST NEIGHBOR,2021,Teknik Komputer
IMPLEMENTASI DOUBLE MOVING AVERAGE UNTUK PREDIKSI JUMLAH SISWA BARU BERBASIS WEB,2023,Teknik Komputer
